ID                                    0x395f
Delivery_person_ID             JAPRES17DEL02
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                26.892312
Restaurant_longitude               75.806896
Delivery_location_latitude         26.912312
Delivery_location_longitude        75.826896
Order_Date                        26-03-2022
Time_Orderd                             8:50
Time_Order_picked                       9:05
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Name: 5914, dtype: object
