ID                                    0x9089
Delivery_person_ID             MUMRES09DEL01
Delivery_person_Age                28.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                18.994049
Restaurant_longitude               72.825203
Delivery_location_latitude         19.034049
Delivery_location_longitude        72.865203
Order_Date                        03-04-2022
Time_Orderd                            12:60
Time_Order_picked                      13:05
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Name: 7672, dtype: object
