ID                                      0x6cf4
Delivery_person_ID             INDORES010DEL01
Delivery_person_Age                  36.000000
Delivery_person_Ratings               4.100000
Restaurant_latitude                  22.750040
Restaurant_longitude                 75.902847
Delivery_location_latitude           22.820040
Delivery_location_longitude          75.972847
Order_Date                          29-03-2022
Time_Orderd                              17:40
Time_Order_picked                        17:45
Weather conditions                      Cloudy
Road_traffic_density                    Medium
Vehicle_condition                            2
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Name: 2795, dtype: object
