ID                                       0xc913
Delivery_person_ID               LUDHRES08DEL02
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.400000
Restaurant_latitude                   30.899992
Restaurant_longitude                  75.831338
Delivery_location_latitude            30.979992
Delivery_location_longitude           75.911338
Order_Date                           18-02-2022
Time_Orderd                               19:20
Time_Order_picked                         19:35
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Name: 2470, dtype: object
