ID                                    0xc019
Delivery_person_ID             GOARES15DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                -15.51315
Restaurant_longitude               -73.78346
Delivery_location_latitude          15.55315
Delivery_location_longitude         73.82346
Order_Date                        17-02-2022
Time_Orderd                              NaN
Time_Order_picked                      12:60
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                  1.00000
Festival                                  No
City                           Metropolitian
Name: 4666, dtype: object
