ID                                      0xa65
Delivery_person_ID             PUNERES03DEL02
Delivery_person_Age                 31.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 18.554382
Restaurant_longitude                73.798206
Delivery_location_latitude          18.604382
Delivery_location_longitude         73.848206
Order_Date                         09-03-2022
Time_Orderd                             21:55
Time_Order_picked                       21:60
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Name: 21, dtype: object
