ID                                      0x477a
Delivery_person_ID             COIMBRES20DEL01
Delivery_person_Age                  28.000000
Delivery_person_Ratings               4.200000
Restaurant_latitude                  10.994136
Restaurant_longitude                 76.963303
Delivery_location_latitude           11.004136
Delivery_location_longitude          76.973303
Order_Date                          30-03-2022
Time_Orderd                               9:35
Time_Order_picked                         9:45
Weather conditions                  Sandstorms
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Name: 2121, dtype: object
