ID                                      0xb9ed
Delivery_person_ID             COIMBRES06DEL02
Delivery_person_Age                  20.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.021278
Restaurant_longitude                 76.995017
Delivery_location_latitude           11.151278
Delivery_location_longitude          77.125017
Order_Date                          06-04-2022
Time_Orderd                              23:55
Time_Order_picked                        24:10
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Name: 5228, dtype: object
