ID                                    0x51f9
Delivery_person_ID             VADRES07DEL01
Delivery_person_Age                    34.00
Delivery_person_Ratings                 4.70
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.01
Delivery_location_longitude             0.01
Order_Date                        01-03-2022
Time_Orderd                            10:25
Time_Order_picked                      10:30
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Name: 6875, dtype: object
