ID                                    0x7219
Delivery_person_ID             VADRES15DEL03
Delivery_person_Age                    37.00
Delivery_person_Ratings                 4.70
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.06
Delivery_location_longitude             0.06
Order_Date                        28-03-2022
Time_Orderd                            21:60
Time_Order_picked                      22:05
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                     0.00
Festival                                  No
City                           Metropolitian
Name: 7320, dtype: object
