ID                                     0x7d9a
Delivery_person_ID             CHENRES16DEL02
Delivery_person_Age                 21.000000
Delivery_person_Ratings              4.300000
Restaurant_latitude                 13.049645
Restaurant_longitude                80.242268
Delivery_location_latitude          13.099645
Delivery_location_longitude         80.292268
Order_Date                         28-03-2022
Time_Orderd                             23:25
Time_Order_picked                       23:35
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Name: 5723, dtype: object
