ID                                       0xc333
Delivery_person_ID                ALHRES06DEL01
Delivery_person_Age                       26.00
Delivery_person_Ratings                    4.80
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.01
Delivery_location_longitude                0.01
Order_Date                           13-02-2022
Time_Orderd                               11:20
Time_Order_picked                         11:35
Weather conditions                       Cloudy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Name: 5508, dtype: object
