ID                                    0xc49f
Delivery_person_ID             DEHRES13DEL01
Delivery_person_Age                21.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                30.366322
Restaurant_longitude               78.070453
Delivery_location_latitude         30.406322
Delivery_location_longitude        78.110453
Order_Date                        11-02-2022
Time_Orderd                            16:40
Time_Order_picked                      16:50
Weather conditions                     Sunny
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Name: 9445, dtype: object
