ID                                    0x5275
Delivery_person_ID             SURRES04DEL01
Delivery_person_Age                32.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                21.173493
Restaurant_longitude               72.801953
Delivery_location_latitude         21.183493
Delivery_location_longitude        72.811953
Order_Date                        11-03-2022
Time_Orderd                             9:40
Time_Order_picked                       9:55
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Name: 2386, dtype: object
