ID                                    0x9f6a
Delivery_person_ID             MUMRES11DEL01
Delivery_person_Age                20.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                18.994237
Restaurant_longitude               72.825553
Delivery_location_latitude         19.034237
Delivery_location_longitude        72.865553
Order_Date                        21-03-2022
Time_Orderd                            16:20
Time_Order_picked                      16:30
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Name: 1785, dtype: object
